"symbol","company","sector","industry","market_cap","enterprise_value","trailing_pe","forward_pe","peg_ratio","price_to_book","price_to_sales","ev_to_revenue","ev_to_ebitda","dividend_yield","dividend_rate","payout_ratio","five_year_avg_dividend_yield","ex_dividend_date","revenue","revenue_growth","gross_margins","operating_margins","profit_margins","ebitda","return_on_equity","return_on_assets","debt_to_equity","total_cash","total_debt","free_cashflow","operating_cashflow","current_ratio","earnings_growth","current_price","previous_close","fifty_two_week_high","fifty_two_week_low","fifty_day_average","two_hundred_day_average","beta","average_volume","shares_outstanding","float_shares","data_quality"
"JINDALSTEL.NS","Jindal Steel Limited","Basic Materials","Steel","1090747301888","1259590778880","32.328106","11.335697","","2.1425345","2.049317","2.367","13.04","0.19","2.0","0.060399998","0.54","1755820800","532249214976","0.23","0.52532","0.12809","0.06327","96595296256","0.067719996","0.04417","43.613","62485598208","226095497216","-48811098112","72042299392","1.253","","1072.0","1068.1","1306.2","926.75","1200.986","1121.2068","0.592","1418494","1017488097","370128374","0.9523809523809523"
"LODHA.NS","Lodha Developers Limited","Real Estate","Real Estate - Development","946771722240","997751717888","27.64071","19.934929","","4.065787","5.677383","5.983","20.276","0.45","4.25","0.1241","","1755820800","166762004480","0.076","0.41255","0.27622998","0.20557","49208999936","0.1571","0.05258","42.238","41164001280","98959998976","-23454500864","9592999936","1.749","0.094","947.8","939.55","1461.5","650.8","900.342","1002.85","0.579","2785336","998915116","448700298","0.9523809523809523"
"LTM.NS","LTM Limited","Technology","Information Technology Services","1068712984576","970943692800","21.306814","15.575974","","4.44777","2.5260544","2.295","13.802","2.03","75.0","0.3961","1.08","1779667200","423076003840","0.061","0.29361","0.07614","0.11861","70348996608","0.21285","0.11981","9.582","145769005056","23100000256","49753001984","47987998720","2.831","0.234","3604.9","3686.1","6429.5","3576.0","4097.702","5074.6826","0.238","449899","296461217","92703423","0.9761904761904762"
"MAZDOCK.NS","Mazagon Dock Shipbuilders Limited","Industrials","Aerospace & Defense","1001592520704","862790287360","38.73031","30.472973","","10.267586","7.70082","6.634","38.082","0.79","19.21","0.3","1.38","1770940800","130063097856","0.213","0.35751","0.13505","0.19863","22656299008","0.2877","0.048270002","4.481","130964897792","4473699840","-39999111168","-28907200512","1.404","1.09","2483.0","2446.8","3369.0","2057.4","2526.98","2531.468","0.556","1530371","403380000","75762832","0.9761904761904762"
"MUTHOOTFIN.NS","Muthoot Finance Limited","Financial Services","Credit Services","1201755652096","2583371710464","11.3459425","8.909591","","3.071184","6.2645426","13.467","","0.99","30.0","0.0986","1.4","1776384000","191834537984","0.537","1.0","0.78154","0.55206","","0.30406","0.064559996","379.707","146258345984","1510264274944","","-473926533120","128.286","1.267","2993.4","3021.2","4149.5","2476.6","3301.89","3463.574","0.482","847822","401468476","84698348","0.9047619047619048"
"PIDILITIND.NS","Pidilite Industries Limited","Basic Materials","Specialty Chemicals","1617041555456","1592621137920","66.2276","52.26251","","14.932191","11.074998","10.908","45.258","0.72","11.5","0.4165","0.51","1784764800","146008293376","0.141","0.55557","0.20533001","0.16771999","35190001664","0.23523001","0.13264","3.776","42187300864","4172100096","18374838272","28284499968","2.38","0.37","1588.8","1599.6","1620.7","1259.0","1476.724","1454.934","0.373","1043435","1017775348","363148333","0.9761904761904762"
"PFC.NS","Power Finance Corporation Limited","Financial Services","Credit Services","1403203223552","11617747075072","5.4179406","6.52969","","1.0560642","2.9429777","24.358","","3.72","15.8","0.21209998","6.02","1785456000","476965306368","-0.154","0.99286","0.93324995","0.54304004","","0.20466","0.02776","586.017","352607993856","10163931054080","","-45044998144","287.366","0.108","425.35","424.45","486.5","329.9","440.377","402.40125","0.615","7568671","3300101760","1416330268","0.9047619047619048"
"PNB.NS","Punjab National Bank","Financial Services","Banks - Regional","1236410826752","1269610053632","6.72375","6.476186","","0.8244247","2.0987906","2.155","","2.8","3.0","0.18129998","2.33","1781222400","589106315264","0.152","0.0","0.29405","0.31221","","0.12985","0.00949","","24066799616","63164899328","","-1221401247744","","0.019","107.58","106.96","135.15","98.5","107.228","116.0958","0.527","21102775","11492943268","11492828339","0.8571428571428571"
"RECLTD.NS","REC Limited","Financial Services","Credit Services","961785036800","5921657847808","5.9082823","5.2560887","","1.1421309","4.1609344","25.619","","6.36","23.2","0.3753","6.57","1773964800","231146405888","-0.144","0.9863","0.90234","0.70553","","0.19957","0.025999999","607.463","215720296448","5166743420928","","59715698688","282.504","-0.219","365.25","364.95","408.25","304.05","351.952","355.611","0.345","6954045","2633224000","1210534012","0.9047619047619048"
"MOTHERSON.NS","Samvardhana Motherson International Limited","Consumer Cyclical","Auto Parts","1561360203776","1722602487808","40.508194","22.665634","","3.8144488","1.2488595","1.378","14.472","0.33","0.5","0.1594","0.81","1783900800","1250228830208","0.149","0.45731997","0.07129","0.030869998","119029202944","0.10114","0.04161","43.908","83280396288","191697600512","37686923264","112839696384","1.06","0.43","148.26","150.56","155.25","89.7","136.2384","120.3079","1.022","25459102","10531231231","4428371428","0.9761904761904762"
